
  construction Description: Metal/Masonry  ,  constructionCode: 2
  construction Description: Precast Concrete  ,  constructionCode: 4
  construction Description: Exterior Concrete Block  ,  constructionCode: 4
  construction Description: concrete  steel  glass  ,  constructionCode: 4
  construction Description: Steel frame  concrete tilt up  ,  constructionCode: 4
  construction Description: concrete & steel  ,  constructionCode: 4
  construction Description: Concrete structure  ,  constructionCode: 4
  construction Description: Concrete frame structure  ,  constructionCode: 4
  construction Description: Armoned Concrete  ,  constructionCode: 4
  construction Description: concrete/cement   ,  constructionCode: 4
  construction Description: concrete  steel  ,  constructionCode: 4
  construction Description: Concrete block/ Glass  ,  constructionCode: 4
  construction Description: Concrete  steel rack  couplers  ,  constructionCode: 4
  construction Description: Concrete  steel rack  ,  constructionCode: 4
  construction Description: Concrete Steel  ,  constructionCode: 4
  construction Description: Concrete & Steel  ,  constructionCode: 4
  construction Description: Concrete  Steel rack couplers  ,  constructionCode: 4
  construction Description: Concrete & Steel Frame  ,  constructionCode: 4
  construction Description: Concrete
Stucco  ,  constructionCode: 4
  construction Description: Concrete masonry wall  ,  constructionCode: 4
  construction Description: Steel Concrete Block  ,  constructionCode: 4
  construction Description: Concrete Block
Brick  ,  constructionCode: 4
  construction Description: Concrete  Pre Fab  ,  constructionCode: 4
  construction Description: Steel Concrete  ,  constructionCode: 4
  construction Description: combustible  |WOOD FRAME  ,  constructionCode: 1
  construction Description: Light Non Combustible  ,  constructionCode: 1
  construction Description: Masonry Non Combustible  ,  constructionCode: 1
  construction Description: Masonry   Non Combustible  ,  constructionCode: 1
  construction Description: Masonry/Non Combustible  ,  constructionCode: 1
  construction Description: Masonry  Non Combustible  ,  constructionCode: 1
  construction Description: Masonry Non Combustible = 4  ,  constructionCode: 1
  construction Description: Masonry Non combustible  ,  constructionCode: 1
  construction Description: Non combustible  Metal  ,  constructionCode: 1
  construction Description: ISO 4  Masonry Non Combustible  ,  constructionCode: 1
  construction Description: ISO 4 Masonry Non Combustible  ,  constructionCode: 1
  construction Description: Concrete Block  ,  constructionCode: 1
  construction Description: Precast Concrete & Steel  ,  constructionCode: 1
  construction Description: Concrete Tilt Wall  ,  constructionCode: 1
  construction Description: Concrete T ilt Wall  ,  constructionCode: 1
  construction Description: Concrete tilt up  ,  constructionCode: 1
  construction Description: Concrete Masonry  ,  constructionCode: 1
  construction Description: Tilt up Concrete  ,  constructionCode: 1
  construction Description: Concrete tilt up & Steel  ,  constructionCode: 1
  construction Description: Metal & Steel  ,  constructionCode: 1
  construction Description: concrete tilt Wall  ,  constructionCode: 1
  construction Description: Double Line Steel  ,  constructionCode: 1
  construction Description: Concrete tilt wall  ,  constructionCode: 1
  construction Description: Concrete wall  Metal Roof  ,  constructionCode: 1
  construction Description: Concrete Tilt  ,  constructionCode: 1
  construction Description: Concrete & Frame  ,  constructionCode: 1
  construction Description: Steel/Concrete
Wood Stucco  ,  constructionCode: 1
  construction Description: Steel/Concrete  ,  constructionCode: 1
  construction Description: Masonry/Steel  ,  constructionCode: 1
  construction Description: Concrete/Tilt Up  ,  constructionCode: 1
  construction Description: Concrete/Wood  ,  constructionCode: 1
  construction Description: Concrete/
Masonry  ,  constructionCode: 1
  construction Description: Concrete & Metal Shed  ,  constructionCode: 1
  construction Description: concrete  ,  constructionCode: 1
  construction Description: concrete block steel frame  ,  constructionCode: 1
  construction Description: concrete block  ,  constructionCode: 1
  construction Description: concrete brick  ,  constructionCode: 1
  construction Description: Concrete block  ,  constructionCode: 1
  construction Description: Masonry steel  ,  constructionCode: 1
  construction Description: concrete slab / steel frame  ,  constructionCode: 1
  construction Description: concrete cinder block  ,  constructionCode: 1
  construction Description: concrete/brick  ,  constructionCode: 1
  construction Description: block concrete  ,  constructionCode: 1
  construction Description: Fire Resist. Steel  ,  constructionCode: 1
  construction Description: concrete stucco  ,  constructionCode: 1
  construction Description: Concrete wood  ,  constructionCode: 1
  construction Description: steel concrete  ,  constructionCode: 1
  construction Description: concrete sheetrock  ,  constructionCode: 1
  construction Description: brick concrete  ,  constructionCode: 1
  construction Description: concrete/cinderblock  ,  constructionCode: 1
  construction Description: Masonry/Steel   ESFR  ,  constructionCode: 1
  construction Description: Precast Concrete  ,  constructionCode: 1
  construction Description: Precaste Concrete  ,  constructionCode: 1
  construction Description: Concrete Tilt up  ,  constructionCode: 1
  construction Description: concrete Tilt up  ,  constructionCode: 1
  construction Description: Steel  ,  constructionCode: 1
  construction Description: Concrete/Metal Panel Siding  ,  constructionCode: 1
  construction Description: concrete  steel  glass  ,  constructionCode: 1
  construction Description: Reinforced Concrete Steel  ,  constructionCode: 1
  construction Description: concrete tilt up  ,  constructionCode: 1
  construction Description: Concrete structure  ,  constructionCode: 1
  construction Description: Concrete frame structure  ,  constructionCode: 1
  construction Description: Armoned Concrete  ,  constructionCode: 1
  construction Description: concrete/cement   ,  constructionCode: 1
  construction Description: brick  concrete  steel. glass  ,  constructionCode: 1
  construction Description: Concrete block/ Glass  ,  constructionCode: 1
  construction Description: Concrete  steel rack  couplers  ,  constructionCode: 1
  construction Description: Concrete  Steel rack couplers  ,  constructionCode: 1
  construction Description: Concrete
Stucco  ,  constructionCode: 1
  construction Description: Concrete masonry wall  ,  constructionCode: 1
  construction Description: Steel Concrete Block  ,  constructionCode: 1
  construction Description: Concrete Block
Brick  ,  constructionCode: 1
  construction Description: Concrete  / post tension cables  ,  constructionCode: 1
  construction Description: Concrete  Pre Fab  ,  constructionCode: 1
  construction Description: Steel Concrete  ,  constructionCode: 1
  construction Description: Concrete  ,  constructionCode: 1
  construction Description: Concrete Panels & Steel  ,  constructionCode: 1
  construction Description: Concrete Block  ,  constructionCode: 1
  construction Description: Concrete Block & Steel  ,  constructionCode: 1
  construction Description: Precast Concrete & Steel  ,  constructionCode: 1
  construction Description: Concrete Tilt Wall  ,  constructionCode: 1
  construction Description: Concrete T ilt Wall  ,  constructionCode: 1
  construction Description: Concrete tilt up  ,  constructionCode: 1
  construction Description: Concrete Masonry  ,  constructionCode: 1
  construction Description: Concrete/Metal  ,  constructionCode: 1
  construction Description: Concrete tilt up & Steel  ,  constructionCode: 1
  construction Description: concrete tilt Wall  ,  constructionCode: 1
  construction Description: Concrete tilt wall  ,  constructionCode: 1
  construction Description: Concrete wall  Metal Roof  ,  constructionCode: 1
  construction Description: Concrete Block / Steel  ,  constructionCode: 1
  construction Description: Concrete Tilt  ,  constructionCode: 1
  construction Description: Concrete & Frame  ,  constructionCode: 1
  construction Description: Steel/Concrete
Wood Stucco  ,  constructionCode: 1
  construction Description: Masonry/Steel  ,  constructionCode: 1
  construction Description: Concrete/Tilt Up  ,  constructionCode: 1
  construction Description: Concrete/
Masonry  ,  constructionCode: 1
  construction Description: Concrete & Metal Shed  ,  constructionCode: 1
  construction Description: concrete  ,  constructionCode: 1
  construction Description: concrete block  ,  constructionCode: 1
  construction Description: Concrete block  ,  constructionCode: 1
  construction Description: concrete slab / steel frame  ,  constructionCode: 1
  construction Description: concrete cinder block  ,  constructionCode: 1
  construction Description: concrete block wood frame  ,  constructionCode: 1
  construction Description: Concrete block wood frame  ,  constructionCode: 1
  construction Description: Concrete block  cement floor  ,  constructionCode: 1
  construction Description: concrete stucco  ,  constructionCode: 1
  construction Description: Concrete wood  ,  constructionCode: 1
  construction Description: concrete sheetrock  ,  constructionCode: 1
  construction Description: Concrete block exterior flat roof  ,  constructionCode: 1
  construction Description: concrete/cinderblock  ,  constructionCode: 1
  construction Description: Concrete Tilt up  ,  constructionCode: 1
  construction Description: Concrete/Metal Panel Siding  ,  constructionCode: 1
  construction Description: concrete  steel  glass  ,  constructionCode: 1
  construction Description: Reinforced Concrete Steel  ,  constructionCode: 1
  construction Description: concrete tilt up  ,  constructionCode: 1
  construction Description: concrete & steel  ,  constructionCode: 1
  construction Description: Concrete structure  ,  constructionCode: 1
  construction Description: concrete/cement   ,  constructionCode: 1
  construction Description: concrete  steel  ,  constructionCode: 1
  construction Description: Concrete block/ Glass  ,  constructionCode: 1
  construction Description: Concrete  steel rack  couplers  ,  constructionCode: 1
  construction Description: Concrete  steel rack  ,  constructionCode: 1
  construction Description: Concrete  Steel rack couplers  ,  constructionCode: 1
  construction Description: Concrete & Steel Frame  ,  constructionCode: 1
  construction Description: Concrete
Stucco  ,  constructionCode: 1
  construction Description: Poured Concrete
Steel  ,  constructionCode: 1
  construction Description: Steel Concrete Block  ,  constructionCode: 1
  construction Description: Concrete Block
Brick  ,  constructionCode: 1
  construction Description: Concrete Foundation / Wood Frame  ,  constructionCode: 1
  construction Description: Concrete  Pre Fab  ,  constructionCode: 1
  construction Description: masonry  ,  constructionCode: 4
  construction Description: metal steel  ,  constructionCode: 4
  construction Description: Bricks  stone  ,  constructionCode: 4
  construction Description: Concrete Panels & Steel  ,  constructionCode: 1
  construction Description: Concrete Block & Steel  ,  constructionCode: 1
  construction Description: Precast Concrete & Steel  ,  constructionCode: 1
  construction Description: Concrete Tilt Wall  ,  constructionCode: 1
  construction Description: Concrete T ilt Wall  ,  constructionCode: 1
  construction Description: Concrete tilt up  ,  constructionCode: 1
  construction Description: Concrete Masonry  ,  constructionCode: 1
  construction Description: Tilt up Concrete  ,  constructionCode: 1
  construction Description: Concrete tilt up & Steel  ,  constructionCode: 1
  construction Description: Reinforced Concrete  ,  constructionCode: 1
  construction Description: concrete tilt Wall  ,  constructionCode: 1
  construction Description: Concrete tilt wall  ,  constructionCode: 1
  construction Description: Tip up / concrete  ,  constructionCode: 1
  construction Description: Concrete Block / Steel  ,  constructionCode: 1
  construction Description: Concrete & Frame  ,  constructionCode: 1
  construction Description: Steel Frame & Concrete  ,  constructionCode: 1
  construction Description: Concrete/Tilt Up  ,  constructionCode: 1
  construction Description: Concrete/
Masonry  ,  constructionCode: 1
  construction Description: Concrete & Metal Shed  ,  constructionCode: 1
  construction Description: Brick concrete block  ,  constructionCode: 1
  construction Description: concrete block  ,  constructionCode: 1
  construction Description: concrete brick  ,  constructionCode: 1
  construction Description: concrete/brick  ,  constructionCode: 1
  construction Description: wood concrete block  ,  constructionCode: 1
  construction Description: block concrete  ,  constructionCode: 1
  construction Description: concrete block brick  ,  constructionCode: 1
  construction Description: Wood frame  concrete  ,  constructionCode: 1
  construction Description: stucco/concrete  ,  constructionCode: 1
  construction Description: concrete stucco  ,  constructionCode: 1
  construction Description: concrete slab/brick  ,  constructionCode: 1
  construction Description: steel concrete  ,  constructionCode: 1
  construction Description: concrete sheetrock  ,  constructionCode: 1
  construction Description: brick concrete  ,  constructionCode: 1
  construction Description: concrete/cinderblock  ,  constructionCode: 1
  construction Description: Steel concrete frame  ,  constructionCode: 1
  construction Description: Precast Concrete  ,  constructionCode: 1
  construction Description: Precaste Concrete  ,  constructionCode: 1
  construction Description: Concrete Tilt up  ,  constructionCode: 1
  construction Description: concrete Tilt up  ,  constructionCode: 1
  construction Description: Exterior Concrete Block  ,  constructionCode: 1
  construction Description: brick  concrete  ,  constructionCode: 1
  construction Description: Steel  concrete  ,  constructionCode: 1
  construction Description: concrete tilt up  ,  constructionCode: 1
  construction Description: concrete & steel  ,  constructionCode: 1
  construction Description: Concrete structure  ,  constructionCode: 1
  construction Description: Concrete frame structure  ,  constructionCode: 1
  construction Description: Armoned Concrete  ,  constructionCode: 1
  construction Description: concrete/cement   ,  constructionCode: 1
  construction Description: concrete  steel  ,  constructionCode: 1
  construction Description: Concrete block/ Glass  ,  constructionCode: 1
  construction Description: Bricks concrete  ,  constructionCode: 1
  construction Description: Concrete  steel rack  ,  constructionCode: 1
  construction Description: Concrete & Steel  ,  constructionCode: 1
  construction Description: Concrete & Steel Frame  ,  constructionCode: 1
  construction Description: Concrete masonry wall  ,  constructionCode: 1
  construction Description: Poured Concrete
Steel  ,  constructionCode: 1
  construction Description: Steel Concrete Block  ,  constructionCode: 1
  construction Description: Concrete Block
Brick  ,  constructionCode: 1
  construction Description: Concrete  Pre Fab  ,  constructionCode: 1
  construction Description: Concrete Panels & Steel  ,  constructionCode: 1
  construction Description: Concrete Block  ,  constructionCode: 1
  construction Description: Precast Concrete & Steel  ,  constructionCode: 1
  construction Description: Concrete Tilt Wall  ,  constructionCode: 1
  construction Description: pre cast concrete wall / TPO roof  ,  constructionCode: 1
  construction Description: Concrete Masonry  ,  constructionCode: 1
  construction Description: Concrete/Metal  ,  constructionCode: 1
  construction Description: Block Masonry Steel  ,  constructionCode: 1
  construction Description: Block  Masonry  Steel  ,  constructionCode: 1
  construction Description: concrete tilt Wall  ,  constructionCode: 1
  construction Description: Concrete tilt wall  ,  constructionCode: 1
  construction Description: Concrete Tilt  ,  constructionCode: 1
  construction Description: Concrete & Frame  ,  constructionCode: 1
  construction Description: concrete  ,  constructionCode: 1
  construction Description: Brick concrete block  ,  constructionCode: 1
  construction Description: concrete block  ,  constructionCode: 1
  construction Description: concrete masonry block  ,  constructionCode: 1
  construction Description: concrete brick  ,  constructionCode: 1
  construction Description: wood frame concrete block  ,  constructionCode: 1
  construction Description: Concrete block  ,  constructionCode: 1
  construction Description: concrete cinder block  ,  constructionCode: 1
  construction Description: wood concrete block  ,  constructionCode: 1
  construction Description: block steel slab  ,  constructionCode: 1
  construction Description: wood frame concrete slab  ,  constructionCode: 1
  construction Description: brick concrete masonry  ,  constructionCode: 1
  construction Description: masonry concrete slab  ,  constructionCode: 1
  construction Description: wood frame  concrete beam  ,  constructionCode: 1
  construction Description: concrete stucco  ,  constructionCode: 1
  construction Description: steel concrete  ,  constructionCode: 1
  construction Description: concrete sheetrock  ,  constructionCode: 1
  construction Description: wood  steel joist concrete block  ,  constructionCode: 1
  construction Description: brick exterior concrete block  ,  constructionCode: 1
  construction Description: brick concrete  ,  constructionCode: 1
  construction Description: concrete/cinderblock  ,  constructionCode: 1
  construction Description: Steel concrete frame  ,  constructionCode: 1
  construction Description: Precast Concrete  ,  constructionCode: 1
  construction Description: Precaste Concrete  ,  constructionCode: 1
  construction Description: concrete Tilt up  ,  constructionCode: 1
  construction Description: concrete  steel  glass  ,  constructionCode: 1
  construction Description: brick  concrete  ,  constructionCode: 1
  construction Description: Steel  concrete  ,  constructionCode: 1
  construction Description: Reinforced Concrete Steel  ,  constructionCode: 1
  construction Description: concrete tilt up  ,  constructionCode: 1
  construction Description: concrete & steel  ,  constructionCode: 1
  construction Description: Steel & concrete structure  ,  constructionCode: 1
  construction Description: brick  concrete  steel. glass  ,  constructionCode: 1
  construction Description: concrete  steel  ,  constructionCode: 1
  construction Description: brick  concrete  steel frame  glass  ,  constructionCode: 1
  construction Description: Concrete Steel  ,  constructionCode: 1
  construction Description: Concrete & Steel  ,  constructionCode: 1
  construction Description: Concrete masonry wall  ,  constructionCode: 1
  construction Description: Poured Concrete
Steel  ,  constructionCode: 1
  construction Description: Steel Concrete Block  ,  constructionCode: 1
  construction Description: Steel Concrete  ,  constructionCode: 1
  construction Description: Jm  ,  constructionCode: 2
  construction Description: JM  ,  constructionCode: 4
  construction Description: MNC  ,  constructionCode: 4
  construction Description: CMU  ,  constructionCode: 4
  construction Description: MFR  ,  constructionCode: 4
  construction Description: CMU  ,  constructionCode: 3
  construction Description: BRICK  ,  constructionCode: 3
  construction Description: Metal/Masonry  ,  constructionCode: 3
  construction Description: Concrete/Metal  ,  constructionCode: 3
  construction Description: Brick/Metal  ,  constructionCode: 3
  construction Description: Metal & Steel  ,  constructionCode: 3
  construction Description: Metal & Wood  ,  constructionCode: 3
  construction Description: #2 Metal Clad  ,  constructionCode: 3
  construction Description: Metal building  ,  constructionCode: 3
  construction Description: Metal Frame  ,  constructionCode: 3
  construction Description: metal frame  ,  constructionCode: 3
  construction Description: metal/wood  ,  constructionCode: 3
  construction Description: brick metal  ,  constructionCode: 3
  construction Description: metal steel  ,  constructionCode: 3
  construction Description: Non Comb/Metal  ,  constructionCode: 3
  construction Description: Metal & EIFS  ,  constructionCode: 3
  construction Description: Metal / Masonry  ,  constructionCode: 3
  construction Description: Masonry & Metal  ,  constructionCode: 3
  construction Description: Metal & Masonry  ,  constructionCode: 3
  construction Description: N/A  |Metal  ,  constructionCode: 3
  construction Description: Metal Exterior  ,  constructionCode: 3
  construction Description: Metal Brick  ,  constructionCode: 3
  construction Description: Metal/Cement  ,  constructionCode: 3
  construction Description: Cement Wall  ,  constructionCode: 3
  construction Description: Brick/Metal  ,  constructionCode: 1
  construction Description: concrete brick  ,  constructionCode: 1
  construction Description: masonry brick  ,  constructionCode: 1
  construction Description: Brick wood  ,  constructionCode: 1
  construction Description: brick masonry  ,  constructionCode: 1
  construction Description: wood brick  ,  constructionCode: 1
  construction Description: block  ,  constructionCode: 1
  construction Description: concrete/brick  ,  constructionCode: 1
  construction Description: brick metal  ,  constructionCode: 1
  construction Description: frame brick  ,  constructionCode: 1
  construction Description: block brick  ,  constructionCode: 1
  construction Description: brick wood  ,  constructionCode: 1
  construction Description: brick/stucco  ,  constructionCode: 1
  construction Description: brick exterior  ,  constructionCode: 1
  construction Description: brick concrete  ,  constructionCode: 1
  construction Description: Metal Brick  ,  constructionCode: 1
  construction Description: brick  concrete  ,  constructionCode: 1
  construction Description: brick steel  ,  constructionCode: 1
  construction Description: Brick  ,  constructionCode: 4
  construction Description: #3 Steel & Frame  ,  constructionCode: 4
  construction Description: Steel Clad  ,  constructionCode: 4
  construction Description: #1 Steel Beam  ,  constructionCode: 4
  construction Description: #2 Steel Beam  ,  constructionCode: 4
  construction Description: Steel / Concrete / Brick / Timber  ,  constructionCode: 4
  construction Description: Masonry / Brick  ,  constructionCode: 4
  construction Description: Split Face Block  ,  constructionCode: 4
  construction Description: concrete brick  ,  constructionCode: 4
  construction Description: frame brick  ,  constructionCode: 4
  construction Description: block brick  ,  constructionCode: 4
  construction Description: concrete block brick  ,  constructionCode: 4
  construction Description: steel  light  ,  constructionCode: 4
  construction Description: Cinderblock  Tin & Brick  ,  constructionCode: 4
  construction Description: Steel concrete frame  ,  constructionCode: 4
  construction Description: Steel  ,  constructionCode: 4
  construction Description: Steel frame siding  ,  constructionCode: 4
  construction Description: steel  glass  ,  constructionCode: 4
  construction Description: Steel  concrete  ,  constructionCode: 4
  construction Description: Steel Frame  ,  constructionCode: 4
  construction Description: Concrete  steel rack  ,  constructionCode: 4
  construction Description: Steel Concrete Block  ,  constructionCode: 4
  construction Description: Concrete Block
Brick  ,  constructionCode: 4
  construction Description: Steel Concrete  ,  constructionCode: 4
  construction Description: combustible  |WOOD FRAME  ,  constructionCode: 3
  construction Description: Masonry Non Combustible = 4  ,  constructionCode: 3
  construction Description: Non combustible  |Remodeled 1966  ,  constructionCode: 3
  construction Description: Non Comb/Metal  ,  constructionCode: 3
  construction Description: ISO 4  Masonry Non Combustible  ,  constructionCode: 3
  construction Description: ISO 4 Masonry Non Combustible  ,  constructionCode: 3
  construction Description: Block  Masonry  Steel  ,  constructionCode: 2
  construction Description: Brick/Metal  ,  constructionCode: 2
  construction Description: Brick  ,  constructionCode: 2
  construction Description: Brick exterior flat roof  ,  constructionCode: 2
  construction Description: Brick wood  ,  constructionCode: 2
  construction Description: brick masonry  ,  constructionCode: 2
  construction Description: brick metal  ,  constructionCode: 2
  construction Description: brick wood  ,  constructionCode: 2
  construction Description: brick wood frame  ,  constructionCode: 2
  construction Description: Brick exterior flat roof.  ,  constructionCode: 2
  construction Description: brick exterior  ,  constructionCode: 2
  construction Description: brick / metal roof  ,  constructionCode: 2
  construction Description: brick exterior metal roof  ,  constructionCode: 2
  construction Description: Brick / steel frame  ,  constructionCode: 2
  construction Description: brick concrete  ,  constructionCode: 2
  construction Description: Brick & Block  ,  constructionCode: 2
  construction Description: Cinder Block & Metal  ,  constructionCode: 2
  construction Description: Brick Metal Sheeting  ,  constructionCode: 2
  construction Description: brick  concrete  ,  constructionCode: 2
  construction Description: Bricks concrete  ,  constructionCode: 2
  construction Description: Bricks  stone  ,  constructionCode: 2
  construction Description: Non Combustible = 3  ,  constructionCode: 2
  construction Description: Non Combustible = 4  ,  constructionCode: 2
  construction Description: Non Combustible   |online sq. ft. 3298  ,  constructionCode: 2
  construction Description: Non combustible  |Remodeled 1966  ,  constructionCode: 2
  construction Description: Non combustible  Metal  ,  constructionCode: 2
  construction Description: Concrete Block  ,  constructionCode: 1
  construction Description: Concrete Block & Steel  ,  constructionCode: 1
  construction Description: Concrete Tilt Wall  ,  constructionCode: 1
  construction Description: Concrete T ilt Wall  ,  constructionCode: 1
  construction Description: Concrete tilt up  ,  constructionCode: 1
  construction Description: Concrete Masonry  ,  constructionCode: 1
  construction Description: Concrete/Metal  ,  constructionCode: 1
  construction Description: Tilt up Concrete  ,  constructionCode: 1
  construction Description: Reinforced Concrete  ,  constructionCode: 1
  construction Description: concrete tilt Wall  ,  constructionCode: 1
  construction Description: Concrete tilt wall  ,  constructionCode: 1
  construction Description: Concrete wall  Metal Roof  ,  constructionCode: 1
  construction Description: Concrete Block / Steel  ,  constructionCode: 1
  construction Description: Concrete Tilt  ,  constructionCode: 1
  construction Description: Concrete & Frame  ,  constructionCode: 1
  construction Description: Steel/Concrete
Wood Stucco  ,  constructionCode: 1
  construction Description: Steel/Concrete  ,  constructionCode: 1
  construction Description: Concrete/Tilt Up  ,  constructionCode: 1
  construction Description: Concrete/
Masonry  ,  constructionCode: 1
  construction Description: Concrete & Metal Shed  ,  constructionCode: 1
  construction Description: concrete  ,  constructionCode: 1
  construction Description: concrete block  ,  constructionCode: 1
  construction Description: concrete masonry block  ,  constructionCode: 1
  construction Description: concrete brick  ,  constructionCode: 1
  construction Description: Concrete block  ,  constructionCode: 1
  construction Description: Maonry wood  ,  constructionCode: 1
  construction Description: metal/wood  ,  constructionCode: 1
  construction Description: concrete/brick  ,  constructionCode: 1
  construction Description: wood concrete block  ,  constructionCode: 1
  construction Description: block concrete  ,  constructionCode: 1
  construction Description: concrete block wood frame  ,  constructionCode: 1
  construction Description: concrete block / flat roof  ,  constructionCode: 1
  construction Description: concrete block exterior  ,  constructionCode: 1
  construction Description: Concrete block wood frame  ,  constructionCode: 1
  construction Description: stucco/concrete  ,  constructionCode: 1
  construction Description: concrete stucco  ,  constructionCode: 1
  construction Description: concrete slab/brick  ,  constructionCode: 1
  construction Description: steel concrete  ,  constructionCode: 1
  construction Description: concrete block & stucco  ,  constructionCode: 1
  construction Description: concrete sheetrock  ,  constructionCode: 1
  construction Description: brick concrete  ,  constructionCode: 1
  construction Description: Concrete Block non sprinklered  ,  constructionCode: 1
  construction Description: concrete/cinderblock  ,  constructionCode: 1
  construction Description: Precast Concrete  ,  constructionCode: 1
  construction Description: Precaste Concrete  ,  constructionCode: 1
  construction Description: Concrete Tilt up  ,  constructionCode: 1
  construction Description: Non Comb/Wood  ,  constructionCode: 1
  construction Description: Concrete/Metal Panel Siding  ,  constructionCode: 1
  construction Description: Exterior Concrete Block  ,  constructionCode: 1
  construction Description: brick  concrete  ,  constructionCode: 1
  construction Description: Steel  concrete  ,  constructionCode: 1
  construction Description: Concrete structure  ,  constructionCode: 1
  construction Description: Armoned Concrete  ,  constructionCode: 1
